mid,province,gender,verified,retweet_mid_indicator,uid,retweet_uid_indicator,source,image,text,geo,created_at,delete_indicator,censor_indicator
mTSANt28oF,11,m,True,1,uR1WLLHQ5,0,Weico.iPhone,0,强烈推荐！记得流沙河老先生有个著名的演讲，题目是《中国人在世界上唯一最好的朋友是美国人》，讲述了同一个真理。//@uMMSDZMP5： 这是讲美国讲得最生动的好文！//@uR1WYPVBP：  好文！//@uP2ZYLW3A：  的确是好文！但要注意：别把人家的牌坊给推倒了！//@uCBTBJYZH：  //@uLUCYJACL： ...,0,2012-08-01,1,1
mGvt909Cbc,81,f,True,1,uS5WHZCZO,1,iPhone客户端,0,那个人是谁[哈哈][哈哈][嘻嘻][嘻嘻],0,2012-08-01,1,1
mevDhcOOoC,46,m,True,1,uTZ5JVLQT,1,新浪微博,0,//@uJWA1HA3B：  好文。,0,2012-08-01,1,1
mzqNAa4kmw,11,m,True,0,uLMITBRHD,0,新浪微博,0,既然是一桩故意杀人案，不在案发地审也不在被告居住地审，悄悄搞到安徽某地去审理，令人费解。家属曾经从香港打电话来欲委托我，但后来得知已经有指定律师，外地律师尤其北京律师根本无法介入。在未审之前已通过官方媒体公告起诉书内容，并“证据确凿”，审判不就是走过场？被告人的诉讼权利保障堪忧。,0,2012-08-01,0,1
mJtklZitIA,11,m,True,0,uPVDMSDYN,0,新浪微博,0,反对军队国家化究竟有什么意义呢？一言以蔽之，就是让军方保持干预政治生活的权力。换言之，只要军队非国家化，不是党指挥枪，而是相反，是枪指挥党。枪指挥党，或军方干预政治好坏参半，上焉者如段祺瑞如埃及、突尼斯军方，在关键时刻或许能将国家引向一条光明的路；下焉者不外乎绑架国家，军费无度。,0,2012-08-01,1,1
m7d7uK0zHv,11,m,True,1,uBIBDN1YL,1,微博搜索,0,转发微博,0,2012-08-01,1,1
mPofCKdwuo,11,m,True,1,uOQZLJJDW,0,新浪微博,0,”反洗脑“运动能理解，但可以看到青少年的教育是多方面的，除了教材，还有老师的具体教学方法、家长、社会、媒体。言论自由社会里，偏颇片面的教育反而可能起到反效。另，香港确实应多了解内地了。//@u1OVUBYKR：  看完照片再来了解一下，为何国情教育在香港引起争议http://t.cn/zWCrpxl,0,2012-08-01,1,1
mfsdAjxX3E,11,m,True,1,uHJXPFGA5,1,iPhone客户端,0,谢谢，欢迎扒衣…[偷笑] //@uZQXXJH1B： [偷笑] 节日快乐！@uHJXPFGA5： @uLMIK0U1R： @uAHFBHZCZ： //@ukn： 转发微博,0,2012-08-01,1,1
m0k6Ya5anV,53,m,True,1,uONP5QEOG,0,新浪微博,0,转五毛……//@uWWBGHS2R：  //@uDZPAUPZQ：  //@uHRVMAF55：  //@uSIAJFZU0： 非常值得一读！,0,2012-08-01,1,1
mf64PlC1lU,11,m,True,1,uONPHYU4E,0,新浪微博,0,抗战八年，内战三场，怎么算？//@ukn：  回复@uONPHYU4E：  请您翻阅《中国人口统计年鉴》，不信大陆出版的可以找台湾出版的，都会见到同一组数字：中国人口1900年4亿，1949年5亿4000万，1976年9亿3000万。用小学生算术稍算下“中共建政前后”中国人口年增长平均数，如果您理智，您无法不接受这个结果,0,2012-08-01,1,1
mT5zzl87j9,11,m,True,1,uONPHYU4E,0,新浪微博,0,回复@ukn： 笑话，人口是这样计算的吗？ //@uONPHYU4E： ［龙年竹枝词•答客问］六十三年已不新，丹青难写系铃人。狰狞革命食儿女，千古轮回又暴秦。,0,2012-08-01,1,1
m9R1W5tDFo,11,m,True,1,uONPHYU4E,0,新浪微博,0,回复@ukn： 三年大饥荒，死亡人数与抗日战争有一比。 //@ukn： 日本侵华14年，共造成中国3500万人死伤，而同期，中国有1亿4000万人死于非命。国共内战， 双方更不会以杀伤对方人口为作战目标，死亡人数更少，按照凤凰网的一篇报道，当年东北国军46万人，有40万加入解放军。,0,2012-08-01,1,1
mSFTGcncAB,11,m,True,1,uONPHYU4E,0,新浪微博,0,［龙年竹枝词•答客问］六十三年已不新，丹青难写系铃人。狰狞革命食儿女，千古轮回又暴秦。,0,2012-08-01,1,1
mGvtGNX0Kg,11,m,True,1,uONPHYU4E,0,新浪微博,0,［旧文：近现代史用语变迁感言］http://t.cn/zONx8UI “我想，规范的用语应该是：中国共产党、中共、中共党史、中华人民共和国成立前（或成立后），1949年以前（或以后）…… ”,0,2012-08-01,1,1
mxAH7j9JKR,81,m,True,1,uCBTJTMPK,0,新浪微博,0,黑社會都甘拜下風//@uII5YM3BV：  //@uRLODZYGM：  @uKBQNPFMT： 你们的决策层都死光了吗？出了事，除了会拿钱塞媒体的嘴，你们还会干什么？立刻让你们的人到国家新闻出版总署报刊司领回3万元贿赂款，否则直接打进山东省委廉政帐户。@青岛发布,0,2012-08-01,1,1
mrMrAxiXXo,11,f,False,0,uTS2BGJTI,0,皮皮时光机,1,"听说,今天是扒衣见君节....~转",0,2012-08-01,0,1
mH4j4YstB1,50,m,True,1,uLUCDKHUK,0,新浪微博,0,再转！//@uWYNOTQBJ：  //@uMMS0CXAX： 再转！//@uJWIP13CQ：  那些历史令人惊讶 //@uMLLCSBCF： 好。//@uII5SJBNQ：  //@uK3RZTRWN：  //@uR1WOGA5X：  花几分钟时间，你会了解许多你可能不知道的事，弄懂你所迷惑的疑问。 //@uUPCA5NKO：  这篇文章非常好。值得一读。,0,2012-08-01,1,1
mAMKyLt9A1,11,m,True,1,uWWBW41XG,0,新浪微博,0,回复@uSIAK3NLI： 据说还有老红军说过，“我们有毛泽东思想、邓小平理论和三个代表伟大思想，所以我们谁都不怕”！[给力] //@uSIAK3NLI： 粪青会说我们有原子弹不怕米国[哈哈],0,2012-08-01,1,1
mAMKKNoFZY,11,m,True,1,uWWBW41XG,0,新浪微博,0,//@uONPHYU4E：  ［龙年竹枝词•答客问］六十三年已不新，丹青难写系铃人。狰狞革命食儿女，千古轮回又暴秦。,0,2012-08-01,1,1
mLLxAWX8Il,11,m,True,0,uWWBW41XG,0,新浪微博,0,#党卫军建军节# 本人所认识的军人以军官为主，他们讨论的话题往往是“这个店面我是不是盘下来”、“谁又给谁送了什么礼”、“又帮谁做了什么事收了多少回扣”。。。“中国特色”十分突出，也十分有趣。唯一一个跟我谈军事问题的，是这么跟我说：“水里是美国人、天上是美国人的，这仗怎么打。”,0,2012-08-01,1,1
mwQSBZ3rkR,11,m,True,1,uII5KZQPZ,1,新浪微博,0,中国知识分子眼中的美国要么是救世主要么是洪水猛兽，这都是对美国逻辑的曲解。其实美国政府很简单，就是“在全世界范围内最大化和捍卫美国的国家利益”，这里面并没有夸张的国际道德责任，反倒是中国在外交辞令上喜欢大谈虚无飘渺的国际仁义道德而羞言国家利益。美国既不正义，也不邪恶，它只是贪婪。,0,2012-08-01,1,1
mkpkA6qyF7,81,m,True,1,uGL4O4YPN,1,iPhone客户端,0,自建党以来中国人民一直属于某派的公，某派及某帮无用质疑也是人民的仆…仆方因认清双方关系，我方一直本着公仆之间友好和平的方向发展，但对于此事和近期发生的众多事件中我方表示强烈不满，为此、我方发言人正式向仆方提出强烈抗议及严正交涉！,0,2012-08-01,1,1
m0WIwySFze,81,f,True,1,uB5N4ZQNO,1,新浪微博,0,地球天使EarthAngel: 求关注，为用水权益，也为环境//@uTZ5VDYM4：  北京饮用水告急@uYC3ZZHJK：  为北京市五大水系之一，上游河北王安镇、涞源县杨家庄镇上游有4个大铁矿和铅锌矿，河岸堆积十几座尾矿山，铅锌矿采选业排放汞、镉、铅、砷，铅锌冶炼业排放镉、铅、砷，产生HW26 含镉废物、HW31 含铅废物。,0,2012-08-01,1,1
m3eRpvTHxf,81,m,True,0,uY023C0VC,0,新浪博客,1,分享慕容雪村的博文：如秋水长天 推荐给@uR1WOIR1D： http://t.cn/zWS1msH  （分享自 @uR1WOIR1D： ??,0,2012-08-01,1,1
m4YB0837zm,11,m,True,1,uB5FI1PIS,0,新浪微博,0,美国是全球的活雷锋？即使他的政府想做，他的人民未必答应，他们的人民答应，他们的利益集团也不答应。//@u1CIXDLKX：  真相是你想从中东买石油，得先生产100美元实物去孝敬美国，去换取他开动印刷机印100美元纸币，然后才能从中东买100美元石油。米国靠军事维护美元强权，通过印美元剥削全世界,0,2012-08-01,1,1
m7yowNEqXU,11,m,True,1,uVEQDIN5C,0,新浪微博,0,高颧骨尖下巴的“完美妻子”//@uZNJUBNJ1：  她是完美的妻子,0,2012-08-01,1,1
mnVmY60Ldn,11,m,True,1,uHQY2XMOK,0,新浪微博,0,绝大部分属实。//@u351ZMDGX：  崇尚“枪杆子里出政权”的丛林原则，就永远不会理解，还有种道理叫“发生了人道主义灾难，必须进行干预。”//@uONP5QEOG：  转五毛……//,0,2012-08-01,1,1
mevDhP9sOu,44,m,True,0,uQHC3FK2L,0,优酷网连接分享,0,【网眼视频:还是没谱！】人民日报去年称：再迎暴雨，北京有谱了。一年后暴雨一来，还是没谱。我们处在一个没谱的语境里：各大门户新闻全面标准化、传统媒体宣传普遍忽悠化、社交媒体传播基本被丑化。有选择的真话被当作正能量，没筛选的真话被指成负信息。脸上没谱但心里有谱： http://t.cn/zWNyswA,0,2012-08-01,1,1
mNTchCL35U,31,f,True,1,uKPKZQUAH,1,新浪微博,0,在中國糊塗的都是真糊塗真相鑿鑿看木到//@ukn：  DING//@ukn：  难以想象这么多微博大V力推这么一篇洗脑文，在欧美世界，最不缺的就是自由主义观点，但社会的规则却是由保守主义定下的。拿别家忽悠世界的东西把自己忽悠了，岂不怪哉？ //@uMMSDZMP5： 这是讲美国讲得最生动的好文！//@uR1WYPVBP：  好文！,0,2012-08-01,1,1
m3zObP0CVV,81,m,True,1,uMLLWJ4RD,0,Weico.iPhone,0,以為中國回到原始社會：祭祖用途! ,0,2012-08-02,1,1
m4YBc8QNPu,11,m,True,1,u1CR2FIS4,1,新浪微博,0,//@ukn：  热泪盈眶 //@uR1WW3AV0： 右边亮了！！//@uKPKZPI0H：  热泪盈眶，能在有生之年，看到祖国实现文化输出！ //@uJWA0ZPD4： 大国崛起了。。。,0,2012-08-02,1,1
mtqxoWRwTE,50,m,False,0,uJWI2HJPF,0,Dell平板电脑,1,【人民有尊严国家才配谈尊严】俄罗斯比前苏联在国际上受侮辱？！大陆比台湾在国际上更受牛B？！大陆有原子弹台湾没有，但台湾护照免签国比大陆多得多。你持大陆护照跟台湾人在全球一起走走，就知道谁在外面受侮辱。你再到官不聊生的台湾和民不聊生的大陆看看，就知道哪里的人民在国内受侮辱。转。,0,2012-08-02,0,1
mu9HfeAFW2,81,m,True,1,uHRVOMO52,1,iPhone客户端,0,[给力],0,2012-08-02,1,1
m9R1QRSWgA,400,m,False,1,uZNJ01PKV,1,新浪微博,0,//@uONP51HJI：  还有你十八代祖宗这一终极 兵器 //@uGL4NDKHD： 总之，动词+你亲属名称的都不是森么好词 //@uK3RU31CI：  老外还不知道有升级版，你妈！你姥姥！你大爷！,0,2012-08-02,1,1
m5P2cvgvEj,400,m,False,1,uZNJ01PKV,1,iPhone客户端,0,//@uTZ5GNEVS：  [偷笑]排最右。。。除了妈，还分担了不少大爷的忧伤。。。// @uLUCJ3DL0： :笑死我了//@uZNJ01PKV：  //@u0AGSUOLG： 你妹是个好姑娘，替你妈承担了多少忧伤,0,2012-08-02,1,1
mvR67EdCz0,400,m,False,1,uZNJ01PKV,0,iPhone客户端,0,//@u0AGSUOLG： 你妹是个好姑娘，替你妈承担了多少忧伤,0,2012-08-02,1,1
mFLLfVlibR,400,m,False,0,uZNJ01PKV,0,新浪微博,1,福布斯向英文读者介绍了一个新的汉字词语，“donate your sister”，捐你妹。作者解释说，动词+你妹是中文里的一种诅咒方式(“action word + your sister” is a Chinese way of cursing)。http://t.cn/zWNgsdB,0,2012-08-02,1,1
mF807Jcl2W,50,m,True,0,uRLOSK2KM,0,新浪微博,1,@uWYNM4VJ0： 【红十字会称620元运尸费经物价局批准】中国红十字会常务副会长赵白鸽今日对7.21北京大雨后有遇难者家属被北京红会收取620元运尸费一事回应称：收运尸费和对路边停靠避雨车贴罚款单是一个性质，是经物价局和卫生局批准，但在紧急救援状态下，“我们必须考虑提高服务质量。”http://t.cn/zWNreuz,0,2012-08-02,0,1
m80vz7UkIf,44,m,True,1,uI43SNN4N,0,新浪微博手机版,0,//@uWYNOU2HI： 法院是国家的？还是党的？军队是党的，法院也是党的，土地大约也是党的，报纸还是党的，想问问还剩下什么是老百姓的？,0,2012-08-02,1,1
mH4j0iSFmM,44,m,True,1,uI43SNN4N,0,新浪微博手机版,0,转发微博,0,2012-08-02,1,1
mQWFCnixCp,44,m,True,1,uKPK15UYK,1,iPhone客户端,0,先转存。,0,2012-08-02,1,1
murl76PBwq,44,m,True,1,uKPK15UYK,1,iPhone客户端,0,笑话多？神州处处多欢乐![哈哈] //@u0Y1X5LVI： [嘻嘻]//@ukn： 转发微博,0,2012-08-02,1,1
mZwavBd4yX,11,f,True,0,u5KYGGHAG,0,新浪微博,0,你一个为面条加蛋想半天的人，给一餐上万人捐款，你一个拿山寨机当手表的人，给戴百达翡丽的人捐款，你一个住月租几百元的人，给住别墅的人捐款，你一个每天挤公交的人，给开兰博基尼的人捐款，你一个提无纺织袋的人，给提爱玛仕的捐钱， 你一个到今天还没娶到老婆的，给包养三奶的人捐款，你下贱不?,0,2012-08-02,1,1
mc971ExX99,31,m,True,1,uZNJI2GRE,1,iPhone客户端,0,//@uWYNHYHRZ： //@ukn：  转发微博,0,2012-08-02,1,1
mexwmRVw0D,81,m,True,1,uZQXRPDTG,0,iPhone客户端,0,最右真相帝 //@ukn： //@u0AGSKGB4：  [哈哈]//@uZNJ01PKV：  //@u0AGSUOLG： 你妹是个好姑娘，替你妈承担了多少忧伤,0,2012-08-02,1,1
mhiFdLwqjh,81,m,True,1,u5KY5L5UN,1,三星android智能手机,0,[泪]//@uLCMKLSZ3： 无,0,2012-08-02,1,1
mqJU2bjBFI,31,m,True,1,uMMSHWZ5J,0,MOTO戴妃三防智能手机,0,此微博必火,0,2012-08-02,1,1
mQWFJzhN8k,31,m,True,1,uMMSHWZ5J,0,新浪微博,0,继续请吃饭哟。。,0,2012-08-02,1,1
mkpkva6e4R,11,m,True,0,uW0EJ4SN2,0,iPad客户端,1,【 荣剑：决定中国命运的10个问题 】 权力授予与制衡、腐败扼制与道德危机、言论自由与司法独立、公民社会建立与地方自治、普世价值的认同与历史清算与补偿，是未来中国无论如何也绕不开的重大问题。制度弊端如同人体疾患，在潜伏期往往无从发现和彻底治愈，而一旦意识和发现了病兆，就可能已到晚期。,0,2012-08-02,1,1
mSagfEbzSG,81,m,True,1,uDSGB23A,1,新浪微博,0,//@uUPWF0CG0：  回复@ukn： [给力] //@ukn： //@uKBQF0SVM：  转发微博,0,2012-08-02,1,1
m9I3389Fn0,81,m,True,1,uDSGB23A,1,新浪微博,0,转发微博,0,2012-08-02,1,1
m6EAMGkpBC,44,m,True,1,uCBTSCCJX,0,新浪微博,0,[话筒]好新闻！//@uJ2YF4ER2：  //@uFAOAC33： [话筒]//@u0AGNHGM2：  转发微博。,0,2012-08-02,1,1
m4hasBmnlA,81,m,True,1,uRSRDCAA2,0,iPhone客户端,0,[鄙视][鄙视][鄙视],0,2012-08-02,1,1
mEmCg3ZP0i,37,m,True,1,uUPWOI5KA,1,Android客户端,0,这只是众多腐败的冰山一角。。。//@uWYNGQPY3： 铁道部那条几分钟的“天价宣传片”到底拍了多少钱？据广告业专业人士分析，其拍摄成本只有55.5万。估算的拍摄成本有：抛去创意费，器材租赁12万，工作人员5万，素材30万，航拍3万，脚本、配乐、演员5.53万，后期没有任何费用！,0,2012-08-02,1,1
mEmCjPeAdE,44,m,True,1,uKB50LW2F,0,新浪微博,0,"【与""为人民服务""无关】",0,2012-08-02,1,1
m7d7eJDaZh,11,m,True,0,uTS2GZZGW,0,新浪微博,0,北京水灾六点总结： 1.北京的水很深 2.在北京有房有车不算什么，还得有船 3.有车族们终于理解政府要求私家车交纳“车船税”的良苦用心 4.“南水北调”工程已见成效 5.“北漂一族”终于有了正确的注解 6.汪洋同志要进京就职 7、开越野车的同志注意了，不要认为自己的车高就很屌，冲进去就出不来,0,2012-08-02,1,1
mhkX6BnxU0,33,m,True,0,uY02ZASA4,0,iPhone客户端,1,中国应该恢复爵位制，红二代要荫封，就给个公候伯子男。象少将就授个男爵，红督就授个伯爵，免得前线将士手乏腿软不用命。男星女星就学手里马国，授国家功勋演员，人民演员，免得将星没入石榴裙。 我在:http://t.cn/zWNsnGs,0,2012-08-02,1,1
mPof5LeWVb,33,m,True,1,uY02ZASA4,0,iPhone客户端,0,中国应该恢复爵位制，红二代要荫封，就给个公候伯子男。象这位就授个男爵，薄督就授个伯爵，免得前线将士手乏腿软不用名。男星女星就学手里马国，授国家功勋演员，人民演员，免得将星没入石榴裙。,0,2012-08-02,1,1
muyh4l68oM,23,f,True,1,uRUWVESY,0,新浪微博,0,估计新浪得屏蔽该条//@uS5WCW3OW：  //@uRUDDLJS： 牛逼 //@uZQXIVJED： 律师们组团去打官司吧！@uRUWVESY： @uRUDDLJS： //@uZQX02P3O：  [钱] //@uDGURKQA5：  嗯，大家都说我们家可以发财了。。。。,0,2012-08-02,1,1
mgwZfP9dn9,11,m,True,1,uR1WGC3VN,0,新浪微博,0,不要随便封锁微博了！,0,2012-08-02,1,1
m5P2gW0IiW,11,m,True,1,uR1WGC3VN,0,新浪微博,0,这些年，张艺谋占有大量公共资源，除给自己赚钱外，似乎没有拍过什么有影响的东西。名不副实，令人失望！,0,2012-08-02,1,1
mhkX6STAHg,11,m,True,1,uJ2ORXSK5,1,新浪微博,0,转发微博,0,2012-08-02,1,1
m5uVoRFWgi,11,m,True,1,u5KYVWJPK,0,Weico.iPhone,0,人往高处走！,0,2012-08-02,1,1
m7d7vUM5Of,11,m,True,1,uEMBV1EIQ,0,iPhone客户端,0,可怜的北京物价局和卫生局，被红会推到茅坑里了....,0,2012-08-02,1,1
mkpkv4RYDS,11,m,True,1,uR1WBUIOC,1,新浪微博,0,说的有些片面，但是在某种程度上反应了真实情况，美国不是没有黑暗面，也是国家利益至上，但在很多社会制度方面，稳定运营了200多年并不断改进，比起我们仅仅运营63年的历史，要先进不少！,0,2012-08-02,1,1
